title,pdf,arxiv,keywords,conference_day
FlashLips: 100-FPS Mask-Free Latent Lip-Sync using Reconstruction Instead of Diffusion or GANs,https://openaccess.thecvf.com/content/CVPR2026/papers/Zinonos_FlashLips_100-FPS_Mask-Free_Latent_Lip-Sync_using_Reconstruction_Instead_of_Diffusion_CVPR_2026_paper.pdf,,lip-sync; latent-space reconstruction; audio-to-pose; real-time video synthesis; self-supervised learning; mask-free editing; U-Net architecture; flow matching; lip control; identity preservation,2026-06-05
Bridging Domain Expertise and Generalization for Performance Estimation,https://openaccess.thecvf.com/content/CVPR2026/papers/Li_Bridging_Domain_Expertise_and_Generalization_for_Performance_Estimation_CVPR_2026_paper.pdf,,distribution shift; performance estimation; foundation models; prediction calibration; domain adaptation; model generalization; confidence weighting; prediction agreement; unlabeled data; domain expertise,2026-06-05
VVS: Accelerating Speculative Decoding for Visual Autoregressive Generation via Partial Verification Skipping,https://openaccess.thecvf.com/content/CVPR2026/papers/Dong_VVS_Accelerating_Speculative_Decoding_for_Visual_Autoregressive_Generation_via_Partial_CVPR_2026_paper.pdf,https://arxiv.org/abs/2511.13587,visual autoregressive generation; speculative decoding; partial verification skipping; verification-free token selector; dynamic truncation; token-level feature caching; stale feature reusability; skipped step scheduling; target model forward passes; speed-quality trade-off,2026-06-05
Beyond Top Activations: Efficient and Reliable Crowdsourced Evaluation of Automated Interpretability,https://openaccess.thecvf.com/content/CVPR2026/papers/Oikarinen_Beyond_Top_Activations_Efficient_and_Reliable_Crowdsourced_Evaluation_of_Automated_CVPR_2026_paper.pdf,https://arxiv.org/abs/2506.07985,mechanistic interpretability; automated interpretability; activation space; neuron interpretation; top activating inputs; crowdsourced evaluation; Model-Guided Importance Sampling; Bayesian Rating Aggregation; label noise; vision networks,2026-06-05
"NOVA: Sparse Control, Dense Synthesis for Pair-Free Video Editing",https://openaccess.thecvf.com/content/CVPR2026/papers/Pan_NOVA_Sparse_Control_Dense_Synthesis_for_Pair-Free_Video_Editing_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.02802,pair-free video editing; unpaired video editing; sparse control; dense synthesis; user-edited keyframes; semantic guidance; motion reconstruction; temporal consistency; degradation-simulation training; motion preservation,2026-06-05
ChimeraLoRA: Multi-Head LoRA-Guided Synthetic Datasets,https://openaccess.thecvf.com/content/CVPR2026/papers/Kim_ChimeraLoRA_Multi-Head_LoRA-Guided_Synthetic_Datasets_CVPR_2026_paper.pdf,https://arxiv.org/abs/2602.19708,LoRA-guided synthetic datasets; few-shot image synthesis; diffusion model fine-tuning; data scarcity; tail classes; class-shared LoRA; per-image LoRAs; semantic boosting; class bounding boxes; downstream classification accuracy,2026-06-05
CREval: An Automated Interpretable Evaluation for Creative Image Manipulation under Complex Instructions,https://openaccess.thecvf.com/content/CVPR2026/papers/Wang_CREval_An_Automated_Interpretable_Evaluation_for_Creative_Image_Manipulation_under_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.26174,creative image manipulation; complex instructions; instruction-based image editing; multimodal image manipulation; QA-based evaluation pipeline; interpretable evaluation; Multimodal Large Language Models scoring; CREval-Bench; automated metrics; human-aligned evaluation,2026-06-05
MedGRPO: Multi-Task Reinforcement Learning for Heterogeneous Medical Video Understanding,https://openaccess.thecvf.com/content/CVPR2026/papers/Su_MedGRPO_Multi-Task_Reinforcement_Learning_for_Heterogeneous_Medical_Video_Understanding_CVPR_2026_paper.pdf,https://arxiv.org/abs/2512.06581,medical video understanding; MedVidBench; video-instruction pairs; multi-task reinforcement learning; MedGRPO; cross-dataset reward normalization; medical LLM judge; clinical caption quality; Qwen2.5-VL-7B; vision-language models,2026-06-05
Modeling Spatiotemporal Neural Frames for High Resolution Brain Dynamic,https://openaccess.thecvf.com/content/CVPR2026/papers/Qu_Modeling_Spatiotemporal_Neural_Frames_for_High_Resolution_Brain_Dynamic_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.24176,dynamic fMRI reconstruction; EEG-conditioned framework; spatiotemporal neural activity; multimodal neuroimaging; cortical-vertex level reconstruction; null-space intermediate-frame reconstruction; temporal coherence; voxel-wise reconstruction quality; CineBrain dataset; visual decoding tasks,2026-06-05
Score2Instruct: Scaling Up Video Quality-Centric Instructions via Automated Dimension Scoring,https://openaccess.thecvf.com/content/CVPR2026/papers/Xie_Score2Instruct_Scaling_Up_Video_Quality-Centric_Instructions_via_Automated_Dimension_Scoring_CVPR_2026_paper.pdf,https://arxiv.org/abs/2506.21011,video quality assessment; video large multimodal models; instruction tuning; score-based instruction generation; quality-centric instruction data; hierarchical Chain-of-Thought; visual quality dimensions; Score2Instruct dataset; progressive tuning strategy; quality justification benchmark,2026-06-05
