Title,Abstract,PDF file name
Revisiting Real-Time Detection Transformer with Efficient Encoder Design,"Real-time object detection is crucial for real-world applications as it requires high accuracy with low latency. While Detection Transformers (DETR) have demonstrated significant performance improvements, current real-time DETR models are challenging to reproduce from scratch due to excessive pre-training overheads on the backbone, constraining research advancements by hindering the exploration of novel backbone architectures. In this paper, we show that with general good design, it is possible to achieve **high performance** with **low pre-training cost**. After a thorough study of the backbone architecture, we propose EfficientNAT at various scales, which incorporates modern efficient convolution and local attention mechanisms. Moreover, we redesign the hybrid encoder with local attention, significantly enhancing both performance and inference speed. Based on these advancements, we present **Le-DETR** (**L**ow-cost and **E**fficient **DE**tection **TR**ansformer), which achieves a new **SOTA** in real-time detection using only ImageNet1K and COCO2017 training datasets, saving about **80%** images in the pre-training stage compared with previous methods. We demonstrate that with well-designed architectures, real-time DETR models can achieve strong performance without complex and computationally expensive pre-training. Extensive experiments show that **Le-DETR-M/L/X** achieves **52.9/54.3/55.1 mAP** on COCO Val2017 with **4.45/5.01/6.68 ms** latency on an RTX4090. It surpasses **YOLOv12-L/X** by **+0.6/-0.1 mAP** while achieving similar speed and **+20%** speedup. Compared with **DEIM-D-FINE**, Le-DETR-M achieves **+0.2 mAP** with slightly faster inference, and Le-DETR-X surpasses DEIM-D-FINE-L by **+0.4 mAP** with only **0.4 ms** additional latency.",Huang_Revisiting_Real-Time_Detection_Transformer_with_Efficient_Encoder_Design_CVPRF_2026_paper.pdf
Spatial Transcriptomics as Images for Large-Scale Pretraining,"Spatial Transcriptomics (ST) profiles thousands of gene expression values at discrete spots with precise coordinates on tissue sections, preserving spatial context essential for clinical and pathological studies.With rising sequencing throughput and advancing platforms, the expanding data volumes motivate large-scale ST pretraining.However, the fundamental unit for pretraining, i.e., what constitutes a single training sample, remains ill-posed. Existing choices fall into two camps: (1) treating each spot as an independent sample, which discards spatial dependencies and collapses ST into single-cell transcriptomics; and (2) treating an entire slide as a single sample, which produces prohibitively large inputs and drastically fewer training examples, undermining effective pretraining.To address this gap, we propose treating spatial transcriptomics as croppable images. Specifically, we define a multi-channel image representation with fixed spatial size by cropping patches from raw slides, thereby preserving spatial context while substantially increasing the number of training samples. Along the channel dimension, we define gene subset selection rules to control input dimensionality and improve pretraining stability.Extensive experiments show that the proposed image-like dataset construction for ST pretraining consistently improves downstream performance, outperforming conventional pretraining schemes. Ablation studies verify that both spatial patching and channel design are necessary, establishing a unified, practical paradigm for organizing ST data and enabling large-scale pretraining.",Zhu_Spatial_Transcriptomics_as_Images_for_Large-Scale_Pretraining_CVPRF_2026_paper.pdf
GEAR: GEometry-Motion Alternating Refinement for Articulated Object Modeling with Gaussian Splatting,"High-fidelity interactive digital assets are essential for embodied intelligence and robotic interaction, yet articulated objects remain challenging to reconstruct due to their complex structures and coupled geometry-motion relationships. Existing methods suffer from instability in geometry-motion joint optimization, while their generalization remains limited on complex multi-joint or out-of-distribution objects. To address these challenges, we propose GEAR, an EM-style alternating optimization framework that jointly models geometry and motion as interdependent components within a Gaussian Splatting representation. GEAR treats part segmentation as a latent variable and joint motion parameters as explicit variables, alternately refining them for improved convergence and geometric-motion consistency. To enhance part segmentation quality without sacrificing generalization, we leverage a vanilla 2D segmentation model to provide multi-view part priors, and employ a weakly supervised constraint to regularize the latent variable. Experiments on multiple benchmarks and our newly constructed dataset GEAR-Multi demonstrate that GEAR achieves state-of-the-art results in geometric reconstruction and motion parameters estimation, particularly on complex articulated objects with multiple movable parts.",Li_GEAR_GEometry-Motion_Alternating_Refinement_for_Articulated_Object_Modeling_with_Gaussian_CVPRF_2026_paper.pdf
Assessing the Reliability of Image Quality Metrics and Mitigating Quality Bias in Generative Models,"Discrepancies in generation quality across demographic groups pose a substantial and critical challenge in image generative models. However, the Frechet Inception Distance (FID) score, which is widely used as an image quality evaluation metric for generative models, introduces unintended bias when assessing quality across sensitive attributes. This undermines the reliability of the evaluation procedure. This paper addresses this limitation by introducing the **Difference in Quality Assessment (DQA)** score, a novel approach that quantifies the reliability of existing evaluation metrics, e.g. FID. DQA assesses discrepancies in evaluated quality across demographic groups under strictly controlled conditions to effectively gauge metric reliability. Our findings reveal that traditional quality evaluation metrics can yield biased assessments across groups due to inappropriate reference set selection and inherent biases in image encoder in FID. Furthermore, we propose DQA-Guidance within diffusion model sampling to reduce quality disparities across groups. Experimental results demonstrate the utility of the DQA score in identifying biased evaluation metrics and present effective strategies to mitigate these biases. This work contributes to the development of reliable and fair evaluation metrics for generative models and provides actionable methods to address quality disparities in image generation across groups.",Jung_Assessing_the_Reliability_of_Image_Quality_Metrics_and_Mitigating_Quality_CVPRF_2026_paper.pdf
Mix-to-Max: Optimizing Data Mixtures for Peak Vision-Language Efficiency,"Visual Instruction Tuning (VIT) endows Large Vision-Language Models (LVLMs) with powerful generalization capabilities across diverse visual tasks. However, the redundancy present in VIT data leads to substantial computational overhead, making data pruning critical for achieving efficient VIT. Existing pruning methods struggle to achieve a favorable balance between performance and efficiency. Sample influence-based methods rely on external validation data, causing the selected data to be biased toward samples that match the format of external data. Moreover, the computational overhead of calculating sample level influence function even exceeds the cost of training on the full dataset. To overcome these limitations, this paper casts data pruning as an optimization problem over subset mixing proportions and proposes the Mix-to-Max method. This method requires no external data and computes influence across data subsets to build an Influence Transfer Matrix (ITM). The ITM captures the directional knowledge flow, which allows for a precise estimation of synergy and redundancy among subsets to significantly improve data efficiency. Experimental results on the LLaVA-665K and Vision-Flan-186K datasets demonstrate that with just 20% of the data, Mix-to-Max achieves 98.82% and 98.45% of the full-dataset performance respectively, and reduces the total wall-clock time by over 70%.",Zhao_Mix-to-Max_Optimizing_Data_Mixtures_for_Peak_Vision-Language_Efficiency_CVPRF_2026_paper.pdf
"AdaPerceiver: Transformers with Adaptive Width, Depth, and Tokens","Modern transformer architectures achieve remarkable performance across tasks and domains but remain rigid in how they allocate computation at inference time. Real-world deployment often requires models to adapt to diverse hardware and latency constraints, yet most approaches to dynamic computation focus on a single axis --- such as reducing the number of tokens.We present a novel capability: AdaPerceiver, the first transformer architecture with unified adaptivity across depth, width, and tokens within a single model.We propose an architecture that supports adaptivity along these axes.We couple this with an efficient joint training regime that ensures the model maintains performance across its various configurations.We evaluate AdaPerceiver on image classification, semantic segmentation, and depth estimation tasks.On image classification, AdaPerceiver expands the accuracy-throughput Pareto front.It achieves 85.4\% accuracy while yielding 36% higher throughput than FlexiViT-L.On dense prediction, AdaPerceiver matches ViT-H/14 while having ~26x fewer encoder FLOPs (floating-point operations) on semantic segmentation and depth estimation.Finally, we show how AdaPerceiver equipped with a policy can maintain ImageNet1K accuracy (\pm0.1 percentage points) while reducing FLOPs by 24-33\%.",Jajal_AdaPerceiver_Transformers_with_Adaptive_Width_Depth_and_Tokens_CVPRF_2026_paper.pdf
Eigen-Value: Efficient Domain-Robust Data Valuation Via Eigenvalue-Based Approach,"Data valuation is central to data-centric AI, enabling efficient training and objective data pricing by assigning a value to each data point. Most existing methods estimate the effect of removing data points based on in-distribution (ID) validation performance, often failing to generalize to out-of-distribution (OOD) settings where data follow different patterns. Although OOD-aware methods exist, they incur substantial computational costs. To address this, we propose Eigen-Value (EV), a plug-and-play data valuation framework for OOD robustness using only ID data. EV approximates domain discrepancy, defined as the gap between ID and OOD loss, via eigenvalue ratios of the ID covariance matrix, and estimates each data point's marginal contribution using perturbation theory. It integrates seamlessly with ID loss-based methods without additional training. Experiments show that EV improves OOD robustness and ranking stability across real-world datasets while remaining computationally efficient, making it practical for large-scale data valuation under domain shift.",Choi_Eigen-Value_Efficient_Domain-Robust_Data_Valuation_Via_Eigenvalue-Based_Approach_CVPRF_2026_paper.pdf
CoTFly: Making UAVs Think Where to Fly Next Through Visual Chain-of-Thought Reasoning,"Recent vision-language navigation (VLN) has adopted vision-language models (VLMs) to predict actions for unmanned aerial vehicles (UAVs) to reach target locations by following natural language instructions and visual observations. However, current methods, mainly relying on imitation learning, may hesitate midway in long-horizon navigation tasks, especially when given target-oriented instructions (i.e., specifying only the final destination). Our insight is that introducing explicit reasoning can help UAVs to determine where to fly next at each intermediate location before acting. Thus, we propose CoTFly, a UAV-specific visual chain-of-thought (CoT) reasoning method for VLN tasks, especially the long-horizon navigation. CoTFly generates intermediate reasoning that can provide informative sub-goal landmarks and explicit visual guidance for further action making. To achieve a high-quality supervision for visual CoT learning, we first deploy an automated data generation pipeline with an efficient trajectory-aware sampling strategy to collect visually grounded sub-goals with bounding boxes. We then fine-tune pre-trained large VLMs through two-round training to both enable visual CoT reasoning and enhance action supervision. Experiments show that CoTFly, built upon LLaVA-NeXT, achieves +11% in navigation success rate and reduces more than 20-meter navigation errors, superior to the state-of-the-art VLN methods.",Wang_CoTFly_Making_UAVs_Think_Where_to_Fly_Next_Through_Visual_CVPRF_2026_paper.pdf
"Now You See It, Now You Don't: Instant Concept Erasure for Safe Text-to-Image and Video Generation","Robust concept removal for text-to-image (T2I) and text-to-video (T2V) models is essential for their safe deployment. Existing methods, however, suffer from costly retraining, inference overhead, or vulnerability to adversarial attacks. Crucially, they rarely model the latent semantic overlap between the target erase concept and surrounding content -- causing collateral damage post-erasure -- and even fewer methods work reliably across both T2I and T2V domains. We introduce Instant Concept Erasure (ICE), a training-free, modality-agnostic, one-shot weight modification approach that achieves precise, persistent unlearning with zero overhead. ICE defines erase and preserve subspaces using anisotropic energy-weighted scaling, then explicitly regularizes against their intersection using a unique, closed-form overlap projector. We pose a convex and Lipschitz-bounded Spectral Unlearning Objective, balancing erasure fidelity and intersection preservation, that admits a stable and unique analytical solution. This solution defines a dissociation operator that is translated to the model's text-conditioning layers, making the edit permanent and runtime-free. Across targeted removals of artistic styles, objects, identities, and explicit content, ICE efficiently achieves strong erasure with improved robustness to red-teaming, all while causing only minimal degradation of original generative abilities in both T2I and T2V models.",Biswas_Now_You_See_It_Now_You_Dont_Instant_Concept_Erasure_CVPRF_2026_paper.pdf
AD-R1: Closed-Loop Reinforcement Learning for End-to-End Autonomous Driving with Impartial World Models,"End-to-end models for autonomous driving hold the promise of learning complex behaviors directly from sensor data, but face critical challenges in safety and handling long-tail events. Reinforcement Learning (RL) offers a promising path to overcome these limitations, yet its success in autonomous driving has been elusive. We identify a fundamental flaw hindering this progress: a deep-seated optimistic bias in the world models used for RL. Trained exclusively on safe expert data, these models fail to predict the consequences of erroneous actions. When conditioned on an unsafe trajectory, they hallucinate an implausibly safe future--obstacles vanish, roads are ignored--rather than forecasting the impending failure. This inability to imagine failure makes them unreliable critics for learning robust driving policies. To address this, we introduce a framework for post-training policy refinement built around an Impartial World Model. Our primary contribution is to teach this model to be honest about danger. We achieve this with a novel data synthesis pipeline, Counterfactual Synthesis, which systematically generates a rich curriculum of plausible collisions and off-road events. This transforms the model from a passive scene completer into a veridical forecaster that remains faithful to the causal link between actions and outcomes. We then integrate this Impartial World Model into our closed-loop RL framework, where it serves as an internal critic. During refinement, the agent queries the critic to dream of the outcomes for candidate actions. The critic provides dense, safety-critical feedback, allowing the agent to learn from imagined mistakes in a safe, offline setting. We demonstrate through extensive experiments, including on a new Risk Foreseeing Benchmark, that our model significantly outperforms baselines in predicting failures. Consequently, when used as a critic, it enables a substantial reduction in safety violations in challenging simulations, proving that teaching a model to dream of danger is a critical step towards building truly safe and intelligent autonomous agents.",Yan_AD-R1_Closed-Loop_Reinforcement_Learning_for_End-to-End_Autonomous_Driving_with_Impartial_CVPRF_2026_paper.pdf
