title,pdf,arxiv,keywords,conference_day
DirectFisheye-GS: Enabling Native Fisheye Input in Gaussian Splatting with Cross-View Joint Optimization,https://openaccess.thecvf.com/content/CVPR2026/papers/Yang_DirectFisheye-GS_Enabling_Native_Fisheye_Input_in_Gaussian_Splatting_with_Cross-View_CVPR_2026_paper.pdf,https://arxiv.org/abs/2604.00648,3D Gaussian Splatting; fisheye camera model; native fisheye input; 3D scene reconstruction; cross-view joint optimization; feature-overlap-driven optimization; geometric constraints; photometric constraints; floating artifacts; wide field of view,2026-06-05
CompBench: Benchmarking Complex Instruction-guided Image Editing,https://openaccess.thecvf.com/content/CVPR2026/papers/Jia_CompBench_Benchmarking_Complex_Instruction-guided_Image_Editing_CVPR_2026_paper.pdf,https://arxiv.org/abs/2505.12200,instruction-guided image editing; CompBench; complex scene manipulation; fine-grained instruction following; spatial reasoning; contextual reasoning; image editing benchmarks; MLLM-human collaborative framework; instruction decoupling; editing intent disentanglement,2026-06-05
Spk2VidNet: A Hierarchical Recurrent Architecture for High-Fidelity Video Reconstruction from Long Spike-Camera Streams,https://openaccess.thecvf.com/content/CVPR2026/papers/Wang_Spk2VidNet_A_Hierarchical_Recurrent_Architecture_for_High-Fidelity_Video_Reconstruction_from_CVPR_2026_paper.pdf,,spike camera super resolution; Spk2VidNet; hierarchical recurrent network; long spike-camera streams; high-fidelity video reconstruction; temporal receptive fields; inter-frame motion refinement; temporal alignment; multi-scale feature fusion; segment-wise training with state transfer,2026-06-05
Continual Distillation of Teachers from Different Domains,https://openaccess.thecvf.com/content/CVPR2026/papers/Michel_Continual_Distillation_of_Teachers_from_Different_Domains_CVPR_2026_paper.pdf,https://arxiv.org/abs/2605.04059,Continual Distillation; teacher models; sequential distillation; external unlabeled data; Unseen Knowledge Transfer; Unseen Knowledge Forgetting; Self External Data Distillation; heterogeneous teachers; logits preservation; cross-domain generalization,2026-06-05
GT-SVJ: Generative-Transformer-Based Self-Supervised Video Judge For Efficient Video Reward Modeling,https://openaccess.thecvf.com/content/CVPR2026/papers/Shekhar_GT-SVJ_Generative-Transformer-Based_Self-Supervised_Video_Judge_For_Efficient_Video_Reward_Modeling_CVPR_2026_paper.pdf,https://arxiv.org/abs/2602.05202,video reward modeling; self-supervised video judge; video generative models; temporal dynamics; energy-based models; contrastive objectives; latent-space perturbations; synthetic negative videos; spatiotemporal features; human preference alignment,2026-06-05
Beyond Euclidean Gossip: KL-Barycentric Consensus on Heterogeneous and Imbalanced Images,https://openaccess.thecvf.com/content/CVPR2026/papers/Xu_Beyond_Euclidean_Gossip_KL-Barycentric_Consensus_on_Heterogeneous_and_Imbalanced_Images_CVPR_2026_paper.pdf,,KL-barycentric consensus; decentralized deep learning; natural gradient variational inference; Fisher–Rao manifold; expectation parameter space; exponential family duality; diagonal Gaussian posterior; decentralized Adam; non-i.i.d. data; client size imbalance,2026-06-05
"Training-free, Perceptually Consistent Low-Resolution Previews with High-Resolution Image for Efficient Workflows of Diffusion Models",https://openaccess.thecvf.com/content/CVPR2026/papers/Jeong_Training-free_Perceptually_Consistent_Low-Resolution_Previews_with_High-Resolution_Image_for_Efficient_CVPR_2026_paper.pdf,https://arxiv.org/abs/2604.09227,diffusion models; low-resolution previews; high-resolution image generation; perceptual consistency; flow matching models; commutator-zero condition; downsampling matrix selection; commutator-zero guidance; computational acceleration; image manipulations,2026-06-05
Quantized Residuals to Continuous Prompts for Few-Shot Class Incremental Learning in Vision-Language Models,https://openaccess.thecvf.com/content/CVPR2026/papers/Sinha_Quantized_Residuals_to_Continuous_Prompts_for_Few-Shot_Class_Incremental_Learning_CVPR_2026_paper.pdf,,Few-Shot Class-Incremental Learning; Vision-Language Models; QR-Prompt; visual-textual feature residuals; Discriminative Subspace Quantization; Hierarchical Prompt Encoder; Prompt Composer; continuous class-adaptive prompts; contrastive feature decorrelation; catastrophic forgetting,2026-06-05
AD-GBC: Anisotropic Granular-Ball Skip-Connection Refiner for UNet-Based Medical Image Segmentation,https://openaccess.thecvf.com/content/CVPR2026/papers/Shen_AD-GBC_Anisotropic_Granular-Ball_Skip-Connection_Refiner_for_UNet-Based_Medical_Image_Segmentation_CVPR_2026_paper.pdf,,AD-GBC; Anisotropic Differentiable GranularBall; medical image segmentation; UNet-style architectures; skip-connection refiner; anisotropic region geometry; prototype-based refinement; region-level semantics; Wasserstein-based diversity loss; scale consistency loss,2026-06-05
"White-Balance First, Adjust Later: Cross-Camera Color Constancy via Vision-Language Evaluation",https://openaccess.thecvf.com/content/CVPR2026/papers/Li_White-Balance_First_Adjust_Later_Cross-Camera_Color_Constancy_via_Vision-Language_Evaluation_CVPR_2026_paper.pdf,https://arxiv.org/abs/2605.19613,color constancy; cross-camera generalization; vision-language model evaluation; VLM-CC; iterative refinement; white balance; pseudo-sRGB; LoRA-tuned VLM; residual color cast; illuminant estimation,2026-06-05
